net,length_um
_02887_,51.48µm
_03612_,51.2µm
_00446_,51.04µm
_02492_,51.02µm
_00319_,50.93µm
_03108_,50.64µm
_06239_,50.5µm
_05714_,50.34µm
_02493_,50.28µm
_06798_,50.24µm
_02951_,49.9µm
net376,49.9µm
_05354_,49.88µm
_04350_,49.74µm
net294,49.67µm
net271,49.56µm
_03332_,49.51µm
_00925_,49.42µm
_05531_,49.34µm
_03365_,49.325µm
_00481_,49.18µm
_04078_,49.18µm
_00851_,49.165µm
_06522_,49.16µm
_06670_,49.06µm
_00304_,48.94µm
_04529_,48.9µm
_00125_,48.88µm
_06146_,48.78µm
_02913_,48.68µm
_05722_,48.6µm
_02596_,48.58µm
_05945_,48.46µm
net401,48.4µm
_06076_,48.38µm
net586,48.36µm
_04610_,48.3µm
_06215_,48.22µm
net47,47.97µm
_05329_,47.86µm
_06549_,47.72µm
_00750_,47.56µm
net707,47.4µm
_00126_,47.24µm
_06046_,47.22µm
_01222_,47.12µm
_02859_,46.88µm
_06392_,46.88µm
_02629_,46.78µm
_02335_,46.66µm
_00598_,46.5µm
_02829_,46.34µm
_00996_,46.32µm
_03508_,46.3µm
_00884_,46.23µm
_05072_,46.12µm
net645,46.1µm
net538,45.9µm
_01490_,45.8µm
_02262_,45.62µm
_06634_,45.4µm
_06695_,45.3µm
_04492_,45.24µm
_02844_,45.16µm
_03462_,45.14µm
_06420_,45.08µm
_01894_,45.04µm
_04467_,44.98µm
_02520_,44.94µm
net419,44.78µm
_02007_,44.76µm
_06316_,44.76µm
_06708_,44.74µm
net152,44.72µm
_05193_,44.66µm
_06548_,44.61µm
_03854_,44.325µm
_03982_,43.9µm
_06179_,43.86µm
_03690_,43.74µm
_04461_,43.66µm
_00411_,43.64µm
_02747_,43.54µm
_01489_,43.49µm
net44,43.48µm
_01763_,43.46µm
_04370_,43.38µm
_00743_,43.18µm
_03048_,43.14µm
_02720_,43.08µm
_01624_,43.04µm
_06357_,42.5µm
_00299_,42.4µm
_04543_,42.39µm
_05288_,42.36µm
_02515_,42.12µm
_06635_,41.92µm
_00660_,41.86µm
_04142_,41.82µm
_01100_,41.72µm
_00924_,41.56µm
_05225_,41.56µm
_03738_,41.54µm
_03879_,41.52µm
_04659_,41.26µm
_05368_,41.06µm
net436,41.02µm
_04163_,40.86µm
_06442_,40.8µm
_04664_,40.77µm
_05859_,40.68µm
net616,40.58µm
_04577_,40.48µm
_00537_,40.44µm
_02033_,40.375µm
_06009_,40.36µm
_02190_,40.22µm
_01828_,40.18µm
_03331_,40.18µm
_05552_,40.16µm
_05739_,40.14µm
_06244_,39.97µm
_02302_,39.82µm
_03123_,39.8µm
_03470_,39.8µm
net941,39.78µm
_06307_,39.62µm
_05548_,39.44µm
_04615_,39.325µm
_01703_,39.17µm
_03997_,39.14µm
_06216_,39µm
_05507_,38.86µm
_02466_,38.84µm
_06597_,38.84µm
_05570_,38.82µm
