Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_134_821,VPWR,li1,383.8700,378.0800,1.799104
FILLER_134_813,VPWR,li1,381.3400,378.0800,1.799104
FILLER_134_811,VPWR,li1,378.8100,378.0800,1.799104
FILLER_134_805,VPWR,li1,377.2000,378.0800,1.799104
FILLER_134_793,VPWR,li1,373.0600,378.0800,1.799104
FILLER_134_781,VPWR,li1,367.5400,378.0800,1.799104
FILLER_134_769,VPWR,li1,362.0200,378.0800,1.799104
FILLER_134_757,VPWR,li1,356.5000,378.0800,1.799104
FILLER_134_755,VPWR,li1,353.0500,378.0800,1.799104
FILLER_134_749,VPWR,li1,351.4400,378.0800,1.799104
FILLER_134_737,VPWR,li1,347.3000,378.0800,1.799104
FILLER_134_725,VPWR,li1,341.7800,378.0800,1.799104
FILLER_134_713,VPWR,li1,336.2600,378.0800,1.799104
FILLER_134_701,VPWR,li1,328.4400,378.0800,1.798993
FILLER_134_699,VPWR,li1,327.2900,378.0800,1.798993
FILLER_134_686,VPWR,li1,321.5400,378.0800,1.798552
FILLER_134_664,VPWR,li1,311.1900,378.0800,1.797760
FILLER_134_652,VPWR,li1,305.6700,378.0800,1.797281
FILLER_134_645,VPWR,li1,302.4500,378.0800,1.797168
FILLER_134_641,VPWR,li1,301.0700,378.0800,1.797048
FILLER_134_629,VPWR,li1,297.6200,378.0800,1.796876
FILLER_134_625,VPWR,li1,293.2500,378.0800,1.796619
FILLER_134_613,VPWR,li1,290.2600,378.0800,1.796530
FILLER_134_601,VPWR,li1,284.7400,378.0800,1.796216
FILLER_134_565,VPWR,li1,265.8800,378.0800,1.796124
FILLER_134_557,VPWR,li1,263.5800,378.0800,1.796158
FILLER_134_545,VPWR,li1,258.9800,378.0800,1.796196
FILLER_134_533,VPWR,li1,253.4600,378.0800,1.796257
FILLER_134_531,VPWR,li1,250.0100,378.0800,1.796303
FILLER_134_527,VPWR,li1,248.8600,378.0800,1.796303
FILLER_134_515,VPWR,li1,245.1800,378.0800,1.796342
FILLER_134_494,VPWR,li1,235.5200,378.0800,1.796454
FILLER_134_490,VPWR,li1,231.1500,378.0800,1.796503
FILLER_134_486,VPWR,li1,230.0000,378.0800,1.796503
FILLER_134_477,VPWR,li1,225.4000,378.0800,1.796552
FILLER_134_464,VPWR,li1,221.7200,378.0800,1.796592
FILLER_134_441,VPWR,li1,211.1400,378.0800,1.796914
FILLER_134_421,VPWR,li1,199.6400,378.0800,1.797529
FILLER_134_417,VPWR,li1,198.0300,378.0800,1.797529
FILLER_134_405,VPWR,li1,194.5800,378.0800,1.797737
FILLER_134_396,VPWR,li1,187.9100,378.0800,1.798154
FILLER_134_392,VPWR,li1,186.7600,378.0800,1.798307
FILLER_134_380,VPWR,li1,183.0800,378.0800,1.798432
FILLER_134_365,VPWR,li1,175.2600,378.0800,1.798907
FILLER_134_360,VPWR,li1,172.0400,378.0800,1.798752
FILLER_134_345,VPWR,li1,166.0600,378.0800,1.798477
FILLER_134_333,VPWR,li1,161.4600,378.0800,1.798292
FILLER_134_317,VPWR,li1,152.0300,378.0800,1.797914
FILLER_134_309,VPWR,li1,149.5000,378.0800,1.797813
FILLER_134_305,VPWR,li1,146.5100,378.0800,1.797694
FILLER_134_293,VPWR,li1,141.6800,378.0800,1.797529
FILLER_134_281,VPWR,li1,135.0100,378.0800,1.797432
FILLER_134_275,VPWR,li1,133.4000,378.0800,1.797424
FILLER_134_263,VPWR,li1,129.2600,378.0800,1.797444
FILLER_134_253,VPWR,li1,122.1300,378.0800,1.797537
FILLER_134_250,VPWR,li1,120.9800,378.0800,1.797537
FILLER_134_242,VPWR,li1,118.6800,378.0800,1.797575
FILLER_134_229,VPWR,li1,111.3200,378.0800,1.797703
FILLER_134_208,VPWR,li1,103.0400,378.0800,1.797832
FILLER_134_203,VPWR,li1,99.1300,378.0800,1.797897
FILLER_134_197,VPWR,li1,97.5200,378.0800,1.797951
FILLER_134_193,VPWR,li1,94.9900,378.0800,1.797990
FILLER_134_183,VPWR,li1,90.1600,378.0800,1.798067
FILLER_134_165,VPWR,li1,81.8800,378.0800,1.798221
FILLER_134_153,VPWR,li1,78.6600,378.0800,1.798279
FILLER_134_141,VPWR,li1,73.1400,378.0800,1.798418
FILLER_134_139,VPWR,li1,69.6900,378.0800,1.798504
FILLER_134_129,VPWR,li1,65.5500,378.0800,1.798609
FILLER_134_121,VPWR,li1,63.0200,378.0800,1.798673
FILLER_134_109,VPWR,li1,58.4200,378.0800,1.798819
FILLER_134_97,VPWR,li1,52.9000,378.0800,1.798930
FILLER_134_85,VPWR,li1,47.3800,378.0800,1.799070
FILLER_134_83,VPWR,li1,43.9300,378.0800,1.799198
FILLER_134_77,VPWR,li1,42.3200,378.0800,1.799198
FILLER_134_65,VPWR,li1,38.1800,378.0800,1.799303
FILLER_134_53,VPWR,li1,32.6600,378.0800,1.799443
FILLER_134_41,VPWR,li1,27.1400,378.0800,1.799606
FILLER_134_29,VPWR,li1,21.6200,378.0800,1.799746
FILLER_134_27,VPWR,li1,18.1700,378.0800,1.799746
FILLER_134_15,VPWR,li1,15.1800,378.0800,1.799746
FILLER_134_3,VPWR,li1,9.6600,378.0800,1.799746
FILLER_133_821,VPWR,li1,383.8700,372.6400,1.799630
FILLER_133_809,VPWR,li1,380.4200,372.6400,1.799630
FILLER_133_797,VPWR,li1,374.9000,372.6400,1.799630
FILLER_133_785,VPWR,li1,369.3800,372.6400,1.799630
FILLER_133_783,VPWR,li1,365.9300,372.6400,1.799630
FILLER_133_775,VPWR,li1,363.8600,372.6400,1.799630
FILLER_133_763,VPWR,li1,359.2600,372.6400,1.799630
FILLER_133_751,VPWR,li1,353.7400,372.6400,1.799630
FILLER_133_739,VPWR,li1,348.2200,372.6400,1.799630
FILLER_133_725,VPWR,li1,339.7100,372.6400,1.799632
FILLER_133_718,VPWR,li1,336.4900,372.6400,1.799633
FILLER_133_710,VPWR,li1,333.9600,372.6400,1.799634
FILLER_133_686,VPWR,li1,321.3100,372.6400,1.799311
FILLER_133_680,VPWR,li1,319.7000,372.6400,1.799311
FILLER_133_671,VPWR,li1,314.4100,372.6400,1.799086
FILLER_133_667,VPWR,li1,313.2600,372.6400,1.799086
FILLER_133_655,VPWR,li1,309.5800,372.6400,1.798965
FILLER_133_642,VPWR,li1,302.2200,372.6400,1.798789
FILLER_133_630,VPWR,li1,298.0800,372.6400,1.798716
FILLER_133_610,VPWR,li1,286.5800,372.6400,1.798534
FILLER_133_602,VPWR,li1,284.2800,372.6400,1.798493
FILLER_133_598,VPWR,li1,280.8300,372.6400,1.798443
