Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_136_305,VGND,li1,146.5100,380.8000,0.002398
FILLER_136_296,VGND,li1,142.1400,380.8000,0.002526
FILLER_136_288,VGND,li1,138.2300,380.8000,0.002588
FILLER_136_265,VGND,li1,128.1100,380.8000,0.002594
FILLER_136_253,VGND,li1,124.6600,380.8000,0.002552
FILLER_136_244,VGND,li1,119.6000,380.8000,0.002461
FILLER_136_238,VGND,li1,115.2300,380.8000,0.002371
FILLER_136_230,VGND,li1,111.5500,380.8000,0.002270
FILLER_136_226,VGND,li1,110.4000,380.8000,0.002222
FILLER_136_214,VGND,li1,106.7200,380.8000,0.002173
FILLER_136_171,VGND,li1,84.4100,380.8000,0.001611
FILLER_136_165,VGND,li1,82.8000,380.8000,0.001611
FILLER_136_153,VGND,li1,78.6600,380.8000,0.001512
FILLER_136_141,VGND,li1,73.1400,380.8000,0.001381
FILLER_136_139,VGND,li1,69.6900,380.8000,0.001261
FILLER_136_133,VGND,li1,68.0800,380.8000,0.001261
FILLER_136_121,VGND,li1,63.9400,380.8000,0.001162
FILLER_136_109,VGND,li1,58.4200,380.8000,0.001003
FILLER_136_97,VGND,li1,52.9000,380.8000,0.000899
FILLER_136_85,VGND,li1,47.3800,380.8000,0.000768
FILLER_136_83,VGND,li1,43.9300,380.8000,0.000647
FILLER_136_77,VGND,li1,42.3200,380.8000,0.000647
FILLER_136_65,VGND,li1,38.1800,380.8000,0.000549
FILLER_136_53,VGND,li1,32.6600,380.8000,0.000417
FILLER_136_41,VGND,li1,27.1400,380.8000,0.000286
FILLER_136_29,VGND,li1,21.6200,380.8000,0.000238
FILLER_136_27,VGND,li1,18.1700,380.8000,0.000238
FILLER_136_15,VGND,li1,15.1800,380.8000,0.000238
FILLER_136_3,VGND,li1,9.6600,380.8000,0.000238
FILLER_135_821,VGND,li1,383.8700,380.8000,0.001267
FILLER_135_809,VGND,li1,380.4200,380.8000,0.001267
FILLER_135_797,VGND,li1,374.9000,380.8000,0.001267
FILLER_135_785,VGND,li1,369.3800,380.8000,0.001267
FILLER_135_783,VGND,li1,365.9300,380.8000,0.001267
FILLER_135_777,VGND,li1,364.3200,380.8000,0.001267
FILLER_135_765,VGND,li1,360.1800,380.8000,0.001267
FILLER_135_753,VGND,li1,354.6600,380.8000,0.001267
FILLER_135_741,VGND,li1,349.1400,380.8000,0.001267
FILLER_135_729,VGND,li1,343.6200,380.8000,0.001264
FILLER_135_722,VGND,li1,339.0200,380.8000,0.001260
FILLER_135_700,VGND,li1,327.9800,380.8000,0.001682
FILLER_135_682,VGND,li1,322.0000,380.8000,0.002472
FILLER_135_668,VGND,li1,313.7200,380.8000,0.003343
FILLER_135_659,VGND,li1,309.1200,380.8000,0.003874
FILLER_135_645,VGND,li1,302.6800,380.8000,0.004596
FILLER_135_637,VGND,li1,300.3800,380.8000,0.004810
FILLER_135_629,VGND,li1,295.5500,380.8000,0.005243
FILLER_135_617,VGND,li1,292.1000,380.8000,0.005543
FILLER_135_613,VGND,li1,288.1900,380.8000,0.005775
FILLER_135_606,VGND,li1,284.5100,380.8000,0.005944
FILLER_135_602,VGND,li1,283.3600,380.8000,0.005999
FILLER_135_594,VGND,li1,278.9900,380.8000,0.006050
FILLER_135_581,VGND,li1,273.4700,380.8000,0.005937
FILLER_135_573,VGND,li1,270.9400,380.8000,0.005850
FILLER_135_561,VGND,li1,266.3400,380.8000,0.005635
FILLER_135_558,VGND,li1,262.6600,380.8000,0.005555
FILLER_135_546,VGND,li1,259.4400,380.8000,0.005442
FILLER_135_540,VGND,li1,254.1500,380.8000,0.005265
FILLER_135_529,VGND,li1,249.3200,380.8000,0.005071
FILLER_135_517,VGND,li1,246.1000,380.8000,0.004982
FILLER_135_505,VGND,li1,240.5800,380.8000,0.004730
FILLER_135_492,VGND,li1,234.6000,380.8000,0.004519
FILLER_135_480,VGND,li1,229.0800,380.8000,0.004365
FILLER_135_468,VGND,li1,223.5600,380.8000,0.004161
FILLER_135_464,VGND,li1,219.1900,380.8000,0.004014
FILLER_135_456,VGND,li1,217.1200,380.8000,0.003949
FILLER_135_444,VGND,li1,209.9900,380.8000,0.003624
FILLER_135_432,VGND,li1,207.0000,380.8000,0.003447
FILLER_135_420,VGND,li1,201.4800,380.8000,0.003131
FILLER_135_408,VGND,li1,195.9600,380.8000,0.002715
FILLER_135_399,VGND,li1,189.2900,380.8000,0.002003
FILLER_135_383,VGND,li1,183.0800,380.8000,0.001606
FILLER_135_375,VGND,li1,178.2500,380.8000,0.001307
FILLER_135_369,VGND,li1,176.6400,380.8000,0.001307
FILLER_135_357,VGND,li1,172.5000,380.8000,0.001516
FILLER_135_337,VGND,li1,161.4600,380.8000,0.001918
FILLER_135_335,VGND,li1,159.8500,380.8000,0.001918
FILLER_135_331,VGND,li1,158.0100,380.8000,0.001984
FILLER_135_327,VGND,li1,156.8600,380.8000,0.002084
FILLER_135_318,VGND,li1,153.1800,380.8000,0.002158
FILLER_135_281,VGND,li1,135.7000,380.8000,0.002612
FILLER_135_265,VGND,li1,129.2600,380.8000,0.002594
FILLER_135_257,VGND,li1,123.9700,380.8000,0.002552
FILLER_135_249,VGND,li1,120.2900,380.8000,0.002461
FILLER_135_245,VGND,li1,119.1400,380.8000,0.002461
FILLER_135_233,VGND,li1,115.4600,380.8000,0.002371
FILLER_135_223,VGND,li1,108.3300,380.8000,0.002173
FILLER_135_217,VGND,li1,106.7200,380.8000,0.002173
FILLER_135_190,VGND,li1,94.7600,380.8000,0.001872
FILLER_135_177,VGND,li1,87.4000,380.8000,0.001720
FILLER_135_169,VGND,li1,85.1000,380.8000,0.001666
FILLER_135_167,VGND,li1,82.5700,380.8000,0.001567
FILLER_135_161,VGND,li1,80.9600,380.8000,0.001567
FILLER_135_149,VGND,li1,76.8200,380.8000,0.001469
FILLER_135_137,VGND,li1,71.3000,380.8000,0.001310
FILLER_135_125,VGND,li1,65.7800,380.8000,0.001206
